nombre,sede,rubro,url
Scotiabank,San Miguel,Banca,"https://www.google.com/maps/place/Scotiabank/@-12.0971572,-77.1197119,12z/data=!4m12!1m2!2m1!1sscotiabank+san+miguel!3m8!1s0x9105c95e0e02895b:0xeeeaf58b11f07623!8m2!3d-12.0653659!4d-77.0974861!9m1!1b1!15sChVzY290aWFiYW5rIHNhbiBtaWd1ZWwiA4gBAZIBBGJhbmvgAQA!16s%2Fg%2F1yhbnrrh1?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
BanBif,San Isidro,Banca,"https://www.google.com/maps/place/BanBif/@-12.0967972,-77.1197123,12z/data=!4m12!1m2!2m1!1sbanbif+san+isidro!3m8!1s0x9105c8642debb36b:0xe1feed46c57c732e!8m2!3d-12.093447!4d-77.0270186!9m1!1b1!15sChFiYW5iaWYgc2FuIGlzaWRybyIDiAEBkgEEYmFua-ABAA!16s%2Fg%2F11f54m2k13?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
BanBif,Miraflores,Banca,"https://www.google.com/maps/place/ATM+BanBif+Pardo/@-12.0964372,-77.1197126,12z/data=!4m12!1m2!2m1!1sbanbif+miraflores!3m8!1s0x9105c9de01266845:0xffec01af149cb649!8m2!3d-12.1189423!4d-77.0331013!9m1!1b1!15sChFiYW5iaWYgbWlyYWZsb3JlcyIDiAEBkgEEYmFua-ABAA!16s%2Fg%2F11hdngp9j6?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Claro,Jockey Plaza,Telecomunicaciones,"https://www.google.com/maps/place/Centro+de+Atenci%C3%B3n+Claro/@-12.0853526,-76.9814167,17z/data=!4m8!3m7!1s0x9105c7b2f5f34fa3:0x30c8a5f0bc0128cd!8m2!3d-12.0853579!4d-76.9788418!9m1!1b1!16s%2Fg%2F11b6s_4fll?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Claro,San Isidro,Telecomunicaciones,"https://www.google.com/maps/place/Claro/@-12.0960772,-77.1197129,12z/data=!4m12!1m2!2m1!1sclaro+san+isidro!3m8!1s0x9105c85bd40bef3d:0xf3981315533d1cf8!8m2!3d-12.0919836!4d-77.0419073!9m1!1b1!15sChBjbGFybyBzYW4gaXNpZHJvIgOIAQFaEiIQY2xhcm8gc2FuIGlzaWRyb5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11b6v4ffrv?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Claro,Miraflores,Telecomunicaciones,"https://www.google.com/maps/place/Claro+%7C+Centro+de+Atenci%C3%B3n+%7C+Miraflores/@-12.0671125,-77.1219397,12z/data=!4m12!1m2!2m1!1sclaro+miraflores!3m8!1s0x9105c81937703e63:0xc13d8f83068682dc!8m2!3d-12.1238173!4d-77.0294468!9m1!1b1!15sChBjbGFybyBtaXJhZmxvcmVzIgOIAQFaEiIQY2xhcm8gbWlyYWZsb3Jlc5IBI3RlbGVjb21tdW5pY2F0aW9uc19zZXJ2aWNlX3Byb3ZpZGVy4AEA!16s%2Fg%2F11xbgjr16?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Claro,San Miguel,Telecomunicaciones,"https://www.google.com/maps/place/Claro/@-12.0698755,-77.1098322,14z/data=!4m12!1m2!2m1!1sclaro+san+miguel!3m8!1s0x9105c95c2a91158d:0xaf9e32e8efc1248!8m2!3d-12.0633513!4d-77.0966873!9m1!1b1!15sChBjbGFybyBzYW4gbWlndWVsIgOIAQGSARBjZWxsX3Bob25lX3N0b3Jl4AEA!16s%2Fg%2F11b6gqb64q?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Claro,Plaza Norte,Telecomunicaciones,"https://www.google.com/maps/place/Claro+-+Plaza+Norte/@-12.0696528,-77.1716353,12z/data=!4m12!1m2!2m1!1sclaro+los+olivos!3m8!1s0x9105cefcfd8c6d8b:0x6ff66af64c01e943!8m2!3d-12.006859!4d-77.0599056!9m1!1b1!15sChBjbGFybyBsb3Mgb2xpdm9zIgOIAQFaEiIQY2xhcm8gbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xxm9n4g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Movistar,Miraflores,Telecomunicaciones,"https://www.google.com/maps/place/Movistar/@-12.1186158,-77.03333,16z/data=!4m12!1m2!2m1!1smovistar+miraflores!3m8!1s0x9105c81c0cef6c61:0x2aed58e607474fbf!8m2!3d-12.1248277!4d-77.026139!9m1!1b1!15sChNtb3Zpc3RhciBtaXJhZmxvcmVzIgOIAQFaFSITbW92aXN0YXIgbWlyYWZsb3Jlc5IBEXRlbGVwaG9uZV9jb21wYW554AEA!16s%2Fg%2F11bc73m4zm?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Movistar,San Isidro,Telecomunicaciones,"https://www.google.com/maps/place/Movistar+-+Centro+de+Atenci%C3%B3n+y+Venta+San+Isidro+-+Juan+de+Arona/@-12.0964878,-77.0379758,15z/data=!3m1!5s0x9105c86f55516a2b:0xb4bdd97027c54e51!4m8!3m7!1s0x9105c86f5551a06f:0x8a1f64392d6a1f9f!8m2!3d-12.096509!4d-77.027676!9m1!1b1!16s%2Fg%2F11bc95wrd7?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Movistar,San Miguel,Telecomunicaciones,"https://www.google.com/maps/place/Movistar/@-12.073177,-77.1385327,13z/data=!4m12!1m2!2m1!1smovistar+san+miguel!3m8!1s0x9105c96d80ef1e1b:0x2b9a36f3b3ce141b!8m2!3d-12.0763796!4d-77.0825337!9m1!1b1!15sChNtb3Zpc3RhciBzYW4gbWlndWVsIgOIAQFaFSITbW92aXN0YXIgc2FuIG1pZ3VlbJIBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xrdtwpz?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Movistar,Los Olivos,Telecomunicaciones,"https://www.google.com/maps/place/Movistar/@-12.0012823,-77.0856623,14z/data=!4m12!1m2!2m1!1smovistar+los+olivos!3m8!1s0x9105cf035aadd309:0x278325a6ff63c9c!8m2!3d-11.9888504!4d-77.0723399!9m1!1b1!15sChNtb3Zpc3RhciBsb3Mgb2xpdm9zIgOIAQFaFSITbW92aXN0YXIgbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F1tgdv61q?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Entel,San Isidro,Telecomunicaciones,"https://www.google.com/maps/place/TIENDA+PASEO+DE+LA+REPUBLICA+-+ENTEL/@-12.0982674,-77.0367448,15z/data=!3m1!5s0x9105c86f3dde4ac1:0x933beb97bca362e3!4m8!3m7!1s0x9105c865ea057e4f:0x4b6811f4738d98a0!8m2!3d-12.0982886!4d-77.026445!9m1!1b1!16s%2Fg%2F1vs1syvx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Entel,Miraflores,Telecomunicaciones,"https://www.google.com/maps/place/Entel+Miraflores/@-12.0981593,-77.067645,13z/data=!4m12!1m2!2m1!1sentel+miraflores!3m8!1s0x9105c83a9a4e26b1:0xf7e0e0e0c1a0eeb1!8m2!3d-12.1178405!4d-77.0443373!9m1!1b1!15sChBlbnRlbCBtaXJhZmxvcmVzIgOIAQGSARF0ZWxlcGhvbmVfY29tcGFueeABAA!16s%2Fg%2F11bx1cbmzz?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Entel,San Miguel,Telecomunicaciones,"https://www.google.com/maps/place/TIENDA+PLAZA+SAN+MIGUEL+-+ENTEL/@-12.0763584,-77.0928335,15z/data=!3m1!5s0x9105c971d670aa0f:0x8193992371f626fa!4m8!3m7!1s0x9105c96d7da22637:0x682badb0e9bd7614!8m2!3d-12.0763796!4d-77.0825337!9m1!1b1!16s%2Fg%2F11b6qyzz6h?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
